]11;?[cmax_token_len: 64
max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using frame_sampling type

max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using frame_sampling type

Step 18100: grad_norm=0.0216, llm_grad_norm=0.0180, loss=0.0019, mem_enc_norm=0.0058, param_norm=1824.9489
Step 18200: grad_norm=0.0219, llm_grad_norm=0.0185, loss=0.0018, mem_enc_norm=0.0054, param_norm=1825.0264
Step 18300: grad_norm=0.0239, llm_grad_norm=0.0204, loss=0.0019, mem_enc_norm=0.0058, param_norm=1825.0981
Step 18400: grad_norm=0.0220, llm_grad_norm=0.0186, loss=0.0019, mem_enc_norm=0.0054, param_norm=1825.1716
Step 18500: grad_norm=0.0232, llm_grad_norm=0.0198, loss=0.0019, mem_enc_norm=0.0055, param_norm=1825.2450
Step 18600: grad_norm=0.0244, llm_grad_norm=0.0208, loss=0.0019, mem_enc_norm=0.0056, param_norm=1825.3179
Step 18700: grad_norm=0.0228, llm_grad_norm=0.0192, loss=0.0019, mem_enc_norm=0.0053, param_norm=1825.3921
Step 18800: grad_norm=0.0222, llm_grad_norm=0.0186, loss=0.0018, mem_enc_norm=0.0063, param_norm=1825.4656
Step 18900: grad_norm=0.0210, llm_grad_norm=0.0175, loss=0.0018, mem_enc_norm=0.0055, param_norm=1825.5396
Step 19000: grad_norm=0.0203, llm_grad_norm=0.0168, loss=0.0018, mem_enc_norm=0.0054, param_norm=1825.6122
Step 19100: grad_norm=0.0218, llm_grad_norm=0.0182, loss=0.0019, mem_enc_norm=0.0057, param_norm=1825.6864
Step 19200: grad_norm=0.0217, llm_grad_norm=0.0181, loss=0.0018, mem_enc_norm=0.0055, param_norm=1825.7561
Step 19300: grad_norm=0.0210, llm_grad_norm=0.0176, loss=0.0018, mem_enc_norm=0.0053, param_norm=1825.8284
Step 19400: grad_norm=0.0212, llm_grad_norm=0.0179, loss=0.0018, mem_enc_norm=0.0054, param_norm=1825.9023
Step 19500: grad_norm=0.0225, llm_grad_norm=0.0191, loss=0.0018, mem_enc_norm=0.0052, param_norm=1825.9774
Step 19600: grad_norm=0.0219, llm_grad_norm=0.0184, loss=0.0018, mem_enc_norm=0.0051, param_norm=1826.0497
Step 19700: grad_norm=0.0210, llm_grad_norm=0.0175, loss=0.0018, mem_enc_norm=0.0053, param_norm=1826.1200
Step 19800: grad_norm=0.0219, llm_grad_norm=0.0185, loss=0.0018, mem_enc_norm=0.0057, param_norm=1826.1968
Step 19900: grad_norm=0.0232, llm_grad_norm=0.0192, loss=0.0018, mem_enc_norm=0.0065, param_norm=1826.2743
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mperceptual-framesamp-modul-retrain[0m at: [34mhttps://wandb.ai/shalbe/openpi/runs/h8wum8xx[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260507_143530-h8wum8xx/logs[0m
