]11;?[cmax_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using rl_selector type

max_token_len: 64
Step 860: mean_reward=-0.0013, mean_fm_selector=0.0417, mean_fm_uniform=0.0427, mean_entropy=5.1330, policy_loss=-0.0054, value_loss=0.0002, approx_kl=-0.0002, grad_norm=0.0058
Step 870: mean_reward=-0.0054, mean_fm_selector=0.0548, mean_fm_uniform=0.0512, mean_entropy=5.4276, policy_loss=-0.0010, value_loss=0.0029, approx_kl=0.0003, grad_norm=0.0596
Step 880: mean_reward=-0.0025, mean_fm_selector=0.0428, mean_fm_uniform=0.0420, mean_entropy=5.4104, policy_loss=0.0029, value_loss=0.0007, approx_kl=-0.0000, grad_norm=0.0051
Step 890: mean_reward=-0.0002, mean_fm_selector=0.0539, mean_fm_uniform=0.0552, mean_entropy=5.3848, policy_loss=-0.0021, value_loss=0.0005, approx_kl=0.0042, grad_norm=0.0050
Step 900: mean_reward=-0.0015, mean_fm_selector=0.0584, mean_fm_uniform=0.0588, mean_entropy=5.2776, policy_loss=0.0006, value_loss=0.0002, approx_kl=0.0020, grad_norm=0.0034
Step 910: mean_reward=-0.0028, mean_fm_selector=0.0491, mean_fm_uniform=0.0483, mean_entropy=5.3634, policy_loss=0.0027, value_loss=0.0006, approx_kl=-0.0002, grad_norm=0.0050
Step 920: mean_reward=-0.0096, mean_fm_selector=0.0562, mean_fm_uniform=0.0486, mean_entropy=5.2779, policy_loss=0.0063, value_loss=0.0028, approx_kl=0.0001, grad_norm=0.0101
Step 930: mean_reward=0.0032, mean_fm_selector=0.0510, mean_fm_uniform=0.0563, mean_entropy=5.2314, policy_loss=-0.0069, value_loss=0.0005, approx_kl=-0.0106, grad_norm=0.0080
Step 940: mean_reward=0.0010, mean_fm_selector=0.0577, mean_fm_uniform=0.0603, mean_entropy=5.3868, policy_loss=-0.0029, value_loss=0.0048, approx_kl=0.0026, grad_norm=0.0131
Step 950: mean_reward=0.0022, mean_fm_selector=0.0514, mean_fm_uniform=0.0551, mean_entropy=5.4536, policy_loss=-0.0043, value_loss=0.0009, approx_kl=0.0001, grad_norm=0.0056
Step 960: mean_reward=0.0007, mean_fm_selector=0.0589, mean_fm_uniform=0.0615, mean_entropy=5.3018, policy_loss=-0.0022, value_loss=0.0013, approx_kl=-0.0001, grad_norm=0.0064
Step 970: mean_reward=0.0015, mean_fm_selector=0.0468, mean_fm_uniform=0.0503, mean_entropy=5.3045, policy_loss=-0.0063, value_loss=0.0022, approx_kl=0.0064, grad_norm=0.0166
Step 980: mean_reward=-0.0010, mean_fm_selector=0.0492, mean_fm_uniform=0.0507, mean_entropy=5.0751, policy_loss=0.0039, value_loss=0.0007, approx_kl=0.0356, grad_norm=0.0105
Step 990: mean_reward=-0.0142, mean_fm_selector=0.0700, mean_fm_uniform=0.0576, mean_entropy=5.4091, policy_loss=0.0073, value_loss=0.0026, approx_kl=-0.0000, grad_norm=0.0113
Step 1000: mean_reward=-0.0018, mean_fm_selector=0.0584, mean_fm_uniform=0.0587, mean_entropy=5.3119, policy_loss=-0.0030, value_loss=0.0009, approx_kl=0.0247, grad_norm=0.0123
Step 1010: mean_reward=0.0089, mean_fm_selector=0.0439, mean_fm_uniform=0.0546, mean_entropy=5.3791, policy_loss=-0.0067, value_loss=0.0026, approx_kl=0.0055, grad_norm=0.0106
Step 1020: mean_reward=-0.0024, mean_fm_selector=0.0476, mean_fm_uniform=0.0473, mean_entropy=5.2195, policy_loss=-0.0011, value_loss=0.0004, approx_kl=-0.0055, grad_norm=0.0049
Step 1030: mean_reward=-0.0096, mean_fm_selector=0.0608, mean_fm_uniform=0.0530, mean_entropy=5.3810, policy_loss=0.0096, value_loss=0.0031, approx_kl=-0.0001, grad_norm=0.0108
Step 1040: mean_reward=0.0026, mean_fm_selector=0.0431, mean_fm_uniform=0.0477, mean_entropy=5.2281, policy_loss=-0.0040, value_loss=0.0010, approx_kl=0.0000, grad_norm=0.0058
Step 1050: mean_reward=0.0062, mean_fm_selector=0.0501, mean_fm_uniform=0.0582, mean_entropy=5.3383, policy_loss=-0.0057, value_loss=0.0011, approx_kl=-0.0001, grad_norm=0.0071
Step 1060: mean_reward=0.0026, mean_fm_selector=0.0633, mean_fm_uniform=0.0680, mean_entropy=5.2375, policy_loss=-0.0021, value_loss=0.0012, approx_kl=0.0039, grad_norm=0.0076
Step 1070: mean_reward=-0.0030, mean_fm_selector=0.0549, mean_fm_uniform=0.0538, mean_entropy=5.3161, policy_loss=-0.0001, value_loss=0.0006, approx_kl=-0.0000, grad_norm=0.0044
Step 1080: mean_reward=0.0026, mean_fm_selector=0.0630, mean_fm_uniform=0.0675, mean_entropy=5.3198, policy_loss=-0.0052, value_loss=0.0005, approx_kl=0.0427, grad_norm=0.0081
Step 1090: mean_reward=0.0019, mean_fm_selector=0.0482, mean_fm_uniform=0.0520, mean_entropy=5.3140, policy_loss=-0.0064, value_loss=0.0004, approx_kl=-0.0026, grad_norm=0.0064
Step 1100: mean_reward=0.0007, mean_fm_selector=0.0532, mean_fm_uniform=0.0557, mean_entropy=5.3111, policy_loss=-0.0053, value_loss=0.0010, approx_kl=0.0010, grad_norm=0.0070
Step 1110: mean_reward=0.0013, mean_fm_selector=0.0475, mean_fm_uniform=0.0510, mean_entropy=5.2322, policy_loss=-0.0022, value_loss=0.0021, approx_kl=0.0030, grad_norm=0.0090
Step 1120: mean_reward=-0.0049, mean_fm_selector=0.0497, mean_fm_uniform=0.0465, mean_entropy=5.4476, policy_loss=0.0056, value_loss=0.0007, approx_kl=0.0000, grad_norm=0.0073
Step 1130: mean_reward=0.0082, mean_fm_selector=0.0489, mean_fm_uniform=0.0591, mean_entropy=5.2844, policy_loss=-0.0087, value_loss=0.0021, approx_kl=0.0244, grad_norm=0.0126
Step 1140: mean_reward=0.0058, mean_fm_selector=0.0483, mean_fm_uniform=0.0556, mean_entropy=5.4738, policy_loss=-0.0059, value_loss=0.0005, approx_kl=0.0068, grad_norm=0.0067
Step 1150: mean_reward=-0.0013, mean_fm_selector=0.0620, mean_fm_uniform=0.0624, mean_entropy=5.3678, policy_loss=0.0013, value_loss=0.0008, approx_kl=0.0000, grad_norm=0.0042
Step 1160: mean_reward=-0.0027, mean_fm_selector=0.0575, mean_fm_uniform=0.0568, mean_entropy=5.2119, policy_loss=0.0010, value_loss=0.0019, approx_kl=-0.0000, grad_norm=0.0094
Step 1170: mean_reward=-0.0040, mean_fm_selector=0.0447, mean_fm_uniform=0.0425, mean_entropy=5.4092, policy_loss=0.0035, value_loss=0.0004, approx_kl=-0.0000, grad_norm=0.0039
Step 1180: mean_reward=0.0026, mean_fm_selector=0.0457, mean_fm_uniform=0.0505, mean_entropy=5.1714, policy_loss=-0.0027, value_loss=0.0006, approx_kl=0.0001, grad_norm=0.0034
Step 1190: mean_reward=0.0014, mean_fm_selector=0.0500, mean_fm_uniform=0.0533, mean_entropy=5.3557, policy_loss=-0.0057, value_loss=0.0004, approx_kl=0.0057, grad_norm=0.0091
Step 1200: mean_reward=-0.0033, mean_fm_selector=0.0418, mean_fm_uniform=0.0405, mean_entropy=5.3136, policy_loss=0.0012, value_loss=0.0005, approx_kl=-0.0000, grad_norm=0.0044
Step 1210: mean_reward=0.0018, mean_fm_selector=0.0554, mean_fm_uniform=0.0591, mean_entropy=5.3662, policy_loss=-0.0047, value_loss=0.0014, approx_kl=0.0061, grad_norm=0.0066
Step 1220: mean_reward=0.0020, mean_fm_selector=0.0538, mean_fm_uniform=0.0574, mean_entropy=5.3994, policy_loss=-0.0046, value_loss=0.0010, approx_kl=0.0013, grad_norm=0.0067
Step 1230: mean_reward=0.0028, mean_fm_selector=0.0601, mean_fm_uniform=0.0649, mean_entropy=5.3428, policy_loss=-0.0058, value_loss=0.0010, approx_kl=0.0120, grad_norm=0.0110
Step 1240: mean_reward=0.0014, mean_fm_selector=0.0415, mean_fm_uniform=0.0447, mean_entropy=5.3357, policy_loss=-0.0018, value_loss=0.0003, approx_kl=-0.0007, grad_norm=0.0050
Step 1250: mean_reward=-0.0043, mean_fm_selector=0.0737, mean_fm_uniform=0.0710, mean_entropy=5.4509, policy_loss=0.0009, value_loss=0.0021, approx_kl=-0.0000, grad_norm=0.0101
Step 1260: mean_reward=0.0079, mean_fm_selector=0.0550, mean_fm_uniform=0.0646, mean_entropy=5.4482, policy_loss=-0.0087, value_loss=0.0012, approx_kl=-0.0001, grad_norm=0.0094
Step 1270: mean_reward=0.0027, mean_fm_selector=0.0589, mean_fm_uniform=0.0635, mean_entropy=5.3213, policy_loss=-0.0019, value_loss=0.0011, approx_kl=-0.0099, grad_norm=0.0075
Step 1280: mean_reward=-0.0004, mean_fm_selector=0.0514, mean_fm_uniform=0.0529, mean_entropy=5.3695, policy_loss=-0.0004, value_loss=0.0004, approx_kl=-0.0000, grad_norm=0.0028
Step 1290: mean_reward=-0.0025, mean_fm_selector=0.0422, mean_fm_uniform=0.0414, mean_entropy=5.3147, policy_loss=0.0011, value_loss=0.0005, approx_kl=-0.0000, grad_norm=0.0047
Step 1300: mean_reward=0.0041, mean_fm_selector=0.0565, mean_fm_uniform=0.0625, mean_entropy=5.2581, policy_loss=-0.0079, value_loss=0.0021, approx_kl=0.0000, grad_norm=0.0094
Step 1310: mean_reward=-0.0091, mean_fm_selector=0.0690, mean_fm_uniform=0.0618, mean_entropy=5.3868, policy_loss=0.0084, value_loss=0.0026, approx_kl=-0.0000, grad_norm=0.0104
Step 1320: mean_reward=0.0026, mean_fm_selector=0.0482, mean_fm_uniform=0.0524, mean_entropy=5.3543, policy_loss=-0.0056, value_loss=0.0010, approx_kl=-0.0000, grad_norm=0.0046
Step 1330: mean_reward=0.0017, mean_fm_selector=0.0688, mean_fm_uniform=0.0719, mean_entropy=5.4790, policy_loss=-0.0007, value_loss=0.0016, approx_kl=-0.0000, grad_norm=0.0083
